gene,celltype,n,mean_expr,pct_expr,p,padj
FDPS,Epithelial_tumor,5903,0.1584771357141567,9.689988141622903,5.036052501951459e-56,7.663558155143527e-56
DHCR24,Monocyte,13459,0.3104608780418021,20.105505609629244,2.0139832470227725e-55,3.13286282870209e-55
G6PD,Other,25503,0.0144619445586789,0.6626671371995452,4.4829389423225956e-41,7.131948317331402e-41
HMGCS2,Treg,3976,0.1710038499501866,15.090543259557345,1.6335828077071973e-35,2.659320849755903e-35
PRKAA1,Monocyte,13459,0.0210809577130601,1.8054833197117168,1.2107068433965534e-32,2.017844738994256e-32
HSD17B7,Myoepithelial,2023,0.4083321828812786,21.99703410776075,1.34808830758058e-31,2.301614183674161e-31
NSDHL,Monocyte,13459,0.0226641537038879,2.058102385021176,2.55133478355149e-29,4.464835871215108e-29
VLDLR,Monocyte,13459,0.0232171956961689,2.058102385021176,1.0496369729033322e-27,1.8839637975188013e-27
LIMA1,Other,25503,0.0043221113701162,0.1999764733560757,7.080300470124551e-24,1.304265876075575e-23
PRKAA1,T_cell,3842,0.0798644830212407,6.27277459656429,3.7661151381272153e-22,7.12508269375419e-22
DHCR7,Other,25503,0.0114157225022565,0.5175861663333725,2.6202759918008012e-20,5.094981095168224e-20
PRKAA1,Epithelial_tumor,5903,0.0623822211509352,5.624258851431476,2.801895333431225e-20,5.60379066686245e-20
LIMA1,CD8_T,15713,0.0079063170256988,1.069178387322599,2.157207557854844e-19,4.441309677936444e-19
VLDLR,Epithelial_tumor,5903,0.017825588701782,1.710994409622226,1.170047426813416e-16,2.4819187841496713e-16
FDPS,Treg,3976,0.3036786360098394,22.635814889336014,2.307697945387883e-15,5.0480892555359936e-15
G6PD,T_cell,3842,0.0306051039848164,2.941176470588235,1.1640800525553544e-14,2.628567860608865e-14
G6PD,Monocyte,13459,0.0066726885375658,0.7875770859647819,1.246099743450511e-13,2.907566068051192e-13
HSD17B7,Treg,3976,0.2622383978146162,17.580482897384307,3.956331485364233e-12,9.549765654327456e-12
NSDHL,Epithelial_tumor,5903,0.0260640683247392,2.1683889547687616,7.922396695898816e-11,1.9805991739747037e-10
LIMA1,T_cell,3842,0.0135075522060146,1.327433628318584,5.221772649362707e-10,1.353792909094035e-09
HMGCS2,Myoepithelial,2023,0.0696145961683285,5.585763717251607,3.887827184106682e-09,1.0467227034133376e-08
DHCR7,Monocyte,13459,0.0046172520431633,0.5423879931644252,1.2703877597485973e-08,3.5570857272960734e-08
NSDHL,T_cell,3842,0.0264919106928027,2.1343050494534097,1.4451040581669318e-07,4.214886836320217e-07
HMGCS2,T_cell,3842,0.1809763289778499,11.50442477876106,2.1426497982487647e-07,6.521108081626674e-07
PRKAA1,Treg,3976,0.0529141891108088,4.954728370221328,3.9370867256353933e-07,1.2527094127021706e-06
DHCR24,Myoepithelial,2023,0.3337473624376093,19.08057340583292,1.2350969858130682e-06,4.116989952710228e-06
DHCR7,CD8_T,15713,0.0103893292482561,1.2537389422770953,6.465777730989935e-05,0.0002263022205846
VLDLR,T_cell,3842,0.0266320375654161,2.472670484122853,6.722727957458318e-05,0.0002476794510642
G6PD,Treg,3976,0.0180300061978177,2.062374245472837,0.0018722328236473,0.0072809054252951
FDPS,Myoepithelial,2023,0.3303309273177694,19.476025704399408,0.0034025449850016,0.0140104793500068
DHCR24,T_cell,3842,0.2468378447101072,13.560645497136909,0.0051233319734452,0.0224145773838228
G6PD,Myoepithelial,2023,0.0124334013773932,0.7414730598121602,0.0055431706615074,0.0258681297537012
LIMA1,Epithelial_tumor,5903,0.0076225324359019,0.8470269354565475,0.0058335327259332,0.0291676636296661
FDPS,T_cell,3842,0.2825908576652448,15.122332118688185,0.0059065312562517,0.0318043990721247
LIMA1,Monocyte,13459,0.002878159766971,0.4235084330187978,0.0061175301800142,0.0356855927167496
VLDLR,Myoepithelial,2023,0.0352858213424108,2.5210084033613445,0.0072479031708716,0.0461230201782741
DHCR7,Treg,3976,0.0064635842529811,0.5784708249496981,0.0088547378412652,0.0619831648888569
NSDHL,Myoepithelial,2023,0.0381815498719831,2.718734552644587,0.0201943149712765,0.1570668942210399
DHCR7,Epithelial_tumor,5903,0.0122190161464516,1.2535998644756905,0.0234534249814294,0.2052174685875074
DHCR7,Myoepithelial,2023,0.0216996707965359,1.384083044982699,0.0549325182657133,0.5493251826571335
HMGCS2,Epithelial_tumor,5903,0.1422992743764159,9.927155683550737,0.0618615030219224,0.7217175352557623
HSD17B7,T_cell,3842,0.2173753315756343,12.571577303487766,0.0809929271726569,1.1339009804171971
G6PD,Epithelial_tumor,5903,0.0137125927590512,1.338302558021345,0.3458949025459363,6.053160794553886
LIMA1,Myoepithelial,2023,0.0078196674531026,0.7414730598121602,0.3474307656319427,8.106717864745331
LIMA1,Treg,3976,0.0050586321578392,0.5030181086519114,0.4864861272897682,17.027014455141888
PRKAA1,Myoepithelial,2023,0.0546406874818213,3.6085022244191793,0.7329639428040777,51.30747599628544
