control,iteration,auc
Random 11-gene set,122,0.8636215001021867
Permuted ER labels,122,0.5080386947339737
Random 11-gene set,123,0.8236187751209211
Permuted ER labels,123,0.5267116288575516
Random 11-gene set,124,0.8327951495333469
Permuted ER labels,124,0.47665372300565434
Random 11-gene set,125,0.837863614687649
Permuted ER labels,125,0.5024933578581647
Random 11-gene set,126,0.8109135499693438
Permuted ER labels,126,0.46798828258055725
Random 11-gene set,127,0.8232781524627019
Permuted ER labels,127,0.4320185298726071
Random 11-gene set,128,0.8896518836432998
Permuted ER labels,128,0.5480822944342257
Random 11-gene set,129,0.8510388991075687
Permuted ER labels,129,0.5207916070577014
Random 11-gene set,130,0.854533687580898
Permuted ER labels,130,0.5321275291232372
Random 11-gene set,131,0.9018461748075481
Permuted ER labels,131,0.5584235983377615
Random 11-gene set,132,0.8261802575107297
Permuted ER labels,132,0.5723618775120921
Random 11-gene set,133,0.7779617140132161
Permuted ER labels,133,0.5493017235506505
Random 11-gene set,134,0.844805504462157
Permuted ER labels,134,0.5271135635942503
Random 11-gene set,135,0.8065058927719871
Permuted ER labels,135,0.44451938142925274
Random 11-gene set,136,0.8776551536208188
Permuted ER labels,136,0.5269228149056475
Random 11-gene set,137,0.8194631786906467
Permuted ER labels,137,0.4801485114789836
Random 11-gene set,138,0.8208597315893453
Permuted ER labels,138,0.4777300906056271
Random 11-gene set,139,0.8591457183731861
Permuted ER labels,139,0.492540363784999
Random 11-gene set,140,0.8371959942775393
Permuted ER labels,140,0.4625042577832278
Random 11-gene set,141,0.8055317119694803
Permuted ER labels,141,0.5133387832958649
Random 11-gene set,142,0.8434362013761156
Permuted ER labels,142,0.5101846174807548
Random 11-gene set,143,0.7494311601607739
Permuted ER labels,143,0.4978132025342326
Random 11-gene set,144,0.8515702704543907
Permuted ER labels,144,0.5185639348729477
Random 11-gene set,145,0.8123032904148785
Permuted ER labels,145,0.4682062810818176
Random 11-gene set,146,0.7753934191702432
Permuted ER labels,146,0.5083180053137135
Random 11-gene set,147,0.8163975747666734
Permuted ER labels,147,0.5560119899175693
Random 11-gene set,148,0.8948497854077252
Permuted ER labels,148,0.4287894270726889
Random 11-gene set,149,0.8900538183799986
Permuted ER labels,149,0.48283261802575106
Random 11-gene set,150,0.875550105593024
Permuted ER labels,150,0.5007289324885892
Random 11-gene set,151,0.8672252878261462
Permuted ER labels,151,0.5121670413515906
Random 11-gene set,152,0.8386129845357312
Permuted ER labels,152,0.5152598950882212
Random 11-gene set,153,0.8509367123101028
Permuted ER labels,153,0.43481163567000475
Random 11-gene set,154,0.8765924109271749
Permuted ER labels,154,0.4340145786497718
Random 11-gene set,155,0.8135090946249744
Permuted ER labels,155,0.5157435792628926
Random 11-gene set,156,0.7718100688057771
Permuted ER labels,156,0.5036582873492744
Random 11-gene set,157,0.8752367327474624
Permuted ER labels,157,0.4844539818788746
Random 11-gene set,158,0.8794604537093808
Permuted ER labels,158,0.4865999046256556
Random 11-gene set,159,0.8079705702023299
Permuted ER labels,159,0.537754615437019
Random 11-gene set,160,0.77537298181075
Permuted ER labels,160,0.48910007493698476
Random 11-gene set,161,0.8153212071667008
Permuted ER labels,161,0.46403705974521425
Random 11-gene set,162,0.7101369303086041
Permuted ER labels,162,0.5251652019892363
Random 11-gene set,163,0.80896518836433
Permuted ER labels,163,0.4513931466721166
Random 11-gene set,164,0.7991893180734383
Permuted ER labels,164,0.5108658627971934
Random 11-gene set,165,0.8792424552081204
Permuted ER labels,165,0.43080591320934664
Random 11-gene set,166,0.7738197424892703
Permuted ER labels,166,0.5348933851079773
Random 11-gene set,167,0.8752503576537911
Permuted ER labels,167,0.5175284419919614
Random 11-gene set,168,0.7888412017167382
Permuted ER labels,168,0.4300633558144288
Random 11-gene set,169,0.8284488044144698
Permuted ER labels,169,0.49296954833435525
Random 11-gene set,170,0.8174603174603174
Permuted ER labels,170,0.4864159683902173
Random 11-gene set,171,0.6631514408338444
Permuted ER labels,171,0.4609373935554193
Random 11-gene set,172,0.8152735199945501
Permuted ER labels,172,0.5316506574017303
Random 11-gene set,173,0.8223516588323455
Permuted ER labels,173,0.5434021391102937
Random 11-gene set,174,0.7591048436541998
Permuted ER labels,174,0.480863819061244
Random 11-gene set,175,0.8680768444716942
Permuted ER labels,175,0.43795217657878605
