k,resample,adjusted_rand_index,sample_retention,mean_cluster_jaccard,minimum_cluster_jaccard,heldout_adjusted_rand_index,heldout_sample_retention,heldout_mean_cluster_jaccard,cluster_1_jaccard,cluster_2_jaccard,cluster_3_jaccard,cluster_4_jaccard,cluster_5_jaccard
4,91,0.9671577030732191,0.9884453781512605,0.9778908750906994,0.9631901840490797,0.9424545820700322,0.9790575916230366,0.9607676630434782,0.993006993006993,0.9721448467966574,0.9832214765100671,0.9631901840490797,
4,92,0.9432622710075717,0.9789915966386554,0.9589916080271756,0.9302325581395349,0.9530410276502477,0.9842931937172775,0.9720711417096959,0.986013986013986,0.9663865546218487,0.9533333333333334,0.9302325581395349,
4,93,0.9446232712373174,0.9758403361344538,0.9440515924118116,0.8957055214723927,0.8963432930971187,0.9581151832460733,0.9060522151898734,0.9459459459459459,0.9830985915492958,0.9514563106796117,0.8957055214723927,
4,94,0.919865374835341,0.967436974789916,0.9321521038546178,0.8497109826589595,0.90292672029925,0.9633507853403142,0.9330308775731312,0.9791666666666666,0.957983193277311,0.941747572815534,0.8497109826589595,
4,95,0.8549301019614035,0.9453781512605042,0.898985503057006,0.8209876543209876,0.8844170397469943,0.9528795811518325,0.8951367180091607,0.9861111111111112,0.9329608938547486,0.8558823529411764,0.8209876543209876,
4,96,0.9505288535598133,0.9810924369747899,0.9608058330123858,0.9272727272727272,0.9406864897022191,0.9790575916230366,0.9621223196881092,0.9791666666666666,0.9662921348314607,0.9704918032786886,0.9272727272727272,
4,97,0.9350076814959069,0.9758403361344538,0.9528846280296156,0.9058823529411765,0.9395075288828227,0.9790575916230366,0.9625541125541126,0.9929577464788732,0.9551820728291317,0.9575163398692811,0.9058823529411765,
4,98,0.9396744794580945,0.9758403361344538,0.9500626909876335,0.8909090909090909,0.95936051768168,0.9790575916230366,0.9485111662531018,0.9929577464788732,0.9802816901408451,0.9361022364217252,0.8909090909090909,
4,99,0.9360878220327444,0.9726890756302521,0.9381535894310379,0.8795180722891566,0.9068831835882111,0.9581151832460733,0.9081932773109244,0.9466666666666667,0.9715909090909091,0.9548387096774194,0.8795180722891566,
4,100,0.9221865207836493,0.9716386554621849,0.9452487895801605,0.926829268292683,0.9393796463787815,0.9790575916230366,0.9609461865484539,0.9655172413793104,0.9486486486486486,0.94,0.926829268292683,
4,101,0.9652783248344462,0.9873949579831933,0.9752365289306233,0.9567901234567902,0.9463140508624388,0.9790575916230366,0.9550589836660618,0.993006993006993,0.9774647887323944,0.9736842105263158,0.9567901234567902,
4,102,0.9227900490535266,0.9705882352941176,0.9415152025913265,0.8977272727272727,0.8958873436301538,0.9633507853403142,0.9334109761084176,0.9726027397260274,0.9527777777777777,0.9429530201342282,0.8977272727272727,
4,103,0.8980970266818085,0.957983193277311,0.9127068918735586,0.7839506172839507,0.8726208524956867,0.9476439790575916,0.8944604854765115,1.0,0.9532967032967034,0.9135802469135802,0.7839506172839507,
4,104,0.8792004457687059,0.9516806722689075,0.9006000294854785,0.8333333333333334,0.8800956401328207,0.9528795811518325,0.9050005023106289,0.9266666666666666,0.938375350140056,0.9040247678018576,0.8333333333333334,
4,105,0.9151169726206483,0.967436974789916,0.936305511529762,0.8809523809523809,0.9012509841341252,0.9633507853403142,0.9259194254185692,0.9859154929577465,0.9608938547486033,0.9174603174603174,0.8809523809523809,
4,106,0.9066014424199925,0.9621848739495799,0.9209778013255742,0.8313253012048193,0.9012305744885775,0.9633507853403142,0.9303465982028241,0.9724137931034482,0.9506849315068493,0.9294871794871795,0.8313253012048193,
4,107,0.9280171956644984,0.9747899159663865,0.9539503909481692,0.9382716049382716,0.9685384583634054,0.9895287958115183,0.981506444646665,0.9861111111111112,0.9512195121951219,0.9401993355481728,0.9382716049382716,
4,108,0.8939983347865836,0.9569327731092437,0.9142171302292279,0.8081395348837209,0.8708859978226327,0.9476439790575916,0.9048160173160174,0.9929577464788732,0.9526462395543176,0.903125,0.8081395348837209,
4,109,0.8925364441768927,0.957983193277311,0.9177444203311227,0.8378378378378378,0.8720546439216613,0.9528795811518325,0.9148689516129033,0.972027972027972,0.9327731092436975,0.9283387622149837,0.8378378378378378,
4,110,0.9005078582050862,0.9611344537815126,0.9247124156972423,0.8298969072164949,0.8888318415567735,0.9581151832460733,0.9220238095238096,0.9861111111111112,0.9267605633802817,0.956081081081081,0.8298969072164949,
4,111,0.8837327071238891,0.9527310924369747,0.9032036470527894,0.8219895287958116,0.926876327568925,0.9685863874345549,0.9287422037422037,0.9256756756756757,0.9220055710306406,0.9431438127090301,0.8219895287958116,
4,112,0.9326361301476351,0.9758403361344538,0.9553243416827233,0.9190751445086706,0.940008782775265,0.9790575916230366,0.9606731788580949,1.0,0.9555555555555556,0.9466666666666667,0.9190751445086706,
4,113,0.9117643082015425,0.9642857142857143,0.9239577925223178,0.8641975308641975,0.8860426271948197,0.9581151832460733,0.9224139510455345,0.9466666666666667,0.9561643835616438,0.9288025889967637,0.8641975308641975,
4,114,0.9322203807957155,0.9705882352941176,0.933414245041449,0.8641975308641975,0.9617145209275696,0.9790575916230366,0.9431383269546201,0.9530201342281879,0.9803370786516854,0.9361022364217252,0.8641975308641975,
4,115,0.9466101735431944,0.9810924369747899,0.9652158178707726,0.9411764705882353,0.9393141836145181,0.9790575916230366,0.9601952495974236,1.0,0.9666666666666667,0.9530201342281879,0.9411764705882353,
4,116,0.9528810874384156,0.9831932773109243,0.9684493790536909,0.9520958083832335,0.9517921515757212,0.9842931937172775,0.9744505494505495,0.9929577464788732,0.9722222222222222,0.9565217391304348,0.9520958083832335,
4,117,0.932751996416046,0.9705882352941176,0.9325231486156044,0.8466257668711656,0.9312299336214416,0.9738219895287958,0.9445256801978756,0.9591836734693877,0.9694444444444444,0.9548387096774194,0.8466257668711656,
