gene,mean_permutation_importance_delta_auc,importance_sd_across_folds,median_rank,top10_frequency,top20_frequency,top30_frequency,prespecified_hub
CYP2D6,2.0473417184634347e-05,0.0003257655080762167,59.0,0.0,0.0,0.06666666666666667,False
CUBN,0.00011597252809997311,0.0002293684964585638,60.0,0.0,0.0,0.0,False
DISP3,0.00010706536811366648,0.0007121617913999163,60.0,0.0,0.2,0.3333333333333333,False
CLN8,5.0147636992459904e-05,0.0002465447799974393,61.0,0.0,0.06666666666666667,0.06666666666666667,False
SREBF2,8.168159350073088e-05,0.00038383281872011326,62.0,0.0,0.0,0.2,False
APOE,9.380250901317077e-06,0.0004392912579621123,62.0,0.0,0.06666666666666667,0.06666666666666667,False
SULT1C3,0.00019548442878351667,0.0005348249401273197,62.0,0.06666666666666667,0.13333333333333333,0.26666666666666666,False
SC5D,2.7520840470495566e-05,0.0004052076801371756,63.0,0.0,0.06666666666666667,0.06666666666666667,False
CEBPA,-2.4812802818963142e-05,0.0003705658615774363,64.0,0.0,0.06666666666666667,0.06666666666666667,False
TSKU,3.4372501998398697e-05,0.00036011690109981294,64.0,0.0,0.0,0.13333333333333333,False
SMPD1,-8.680402616681348e-05,0.0005298979409189298,64.0,0.0,0.0,0.06666666666666667,False
CETP,2.9755787206970178e-05,0.00040006451772840225,64.0,0.0,0.0,0.0,False
LRP5,5.48785461426767e-05,0.0003785065091583501,65.0,0.0,0.0,0.06666666666666667,False
FDX1,0.00023574609699996988,0.0011122473943077924,66.0,0.13333333333333333,0.2,0.26666666666666666,False
CYP11B2,-2.044079022495963e-05,6.780849253544603e-05,67.0,0.0,0.0,0.0,False
DHCR7,0.00047482014388490284,0.00250239772597119,67.0,0.2,0.4666666666666667,0.4666666666666667,True
CYP7A1,-4.54656682816923e-05,0.00025591269546192835,68.0,0.0,0.0,0.06666666666666667,False
CYP11B1,-4.535147392277972e-06,0.00019367271549566398,68.0,0.0,0.0,0.0,False
ANGPTL3,-5.00660695932916e-05,0.00029833206376911505,68.0,0.0,0.0,0.06666666666666667,False
INSIG1,-1.5644627155408194e-05,0.00031462234341635305,68.0,0.0,0.0,0.06666666666666667,False
SOAT2,-0.00014072007699960905,0.0003532054712745695,69.0,0.0,0.0,0.06666666666666667,False
NSDHL,0.00016581020897570294,0.0007669977421485991,69.0,0.06666666666666667,0.26666666666666666,0.3333333333333333,True
MVK,-6.558018891009115e-05,0.0002448551060033727,69.0,0.0,0.0,0.0,False
APOB,-1.114210672277829e-05,0.000261732992326606,70.0,0.0,0.0,0.0,False
LIPE,-0.00030447478751692174,0.0008374598534349469,70.0,0.0,0.0,0.0,False
LDLR,0.0001024812802819112,0.0004510022171014887,70.0,0.0,0.06666666666666667,0.2,False
LEPR,-0.00023406580857762658,0.0006226855302391078,70.0,0.0,0.0,0.06666666666666667,False
SULT2A1,4.7667988058539544e-05,0.00026056853395268754,70.0,0.0,0.0,0.13333333333333333,False
APOA4,0.0,0.0,70.0,0.0,0.0,0.0,False
SOAT1,-8.367183803974943e-05,0.00045381701755816886,71.0,0.0,0.0,0.0,False
PMVK,4.698282190582027e-06,0.0005359554507568663,71.0,0.0,0.06666666666666667,0.13333333333333333,False
MBTPS2,0.00018034551950277738,0.000797371380662146,71.0,0.0,0.2,0.4,False
SCAP,-7.062105417705874e-05,0.00025133542963886316,71.0,0.0,0.0,0.0,False
CYP51A1,-4.778218241732486e-05,0.0005304073078302692,72.0,0.0,0.06666666666666667,0.13333333333333333,False
MBTPS1,-5.2072627612179314e-05,0.0006693805828452515,72.0,0.0,0.13333333333333333,0.26666666666666666,False
CYP1A2,2.946214457007083e-05,0.00020525036270511665,72.0,0.0,0.06666666666666667,0.06666666666666667,False
ERLIN1,-1.5824075433526673e-05,0.00023252168223799176,72.0,0.0,0.0,0.0,False
ACLY,-0.00015884435308895532,0.00025771732037185933,74.0,0.0,0.0,0.0,False
APOC1,-1.5171536240388898e-05,0.0004311673550219514,75.0,0.0,0.0,0.13333333333333333,False
NR0B2,-0.00012011615197637937,0.00024644317553278926,75.0,0.0,0.0,0.0,False
GBA2,-7.336171878823183e-05,0.0004901840784031185,76.0,0.0,0.0,0.06666666666666667,False
APOA5,4.7227524103172774e-05,0.0004895036115354657,76.0,0.0,0.13333333333333333,0.2,False
SQLE,-8.856588198828064e-05,0.00032446462725878875,77.0,0.0,0.0,0.06666666666666667,False
LIPA,-9.716308585782614e-05,0.00033093169951182983,77.0,0.0,0.0,0.0,False
STAR,-2.9641592848170064e-05,0.00028316867275537765,78.0,0.0,0.0,0.06666666666666667,False
CLN6,-4.983768087569283e-05,0.0003787640726576145,79.0,0.0,0.0,0.06666666666666667,False
APOL1,-2.7080376515110995e-05,0.0006158881717416041,80.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,False
SREBF1,-0.0001560710615181252,0.001102277292789304,80.0,0.06666666666666667,0.13333333333333333,0.2,False
EBP,-0.00016584283593533034,0.000742917192458967,81.0,0.0,0.13333333333333333,0.13333333333333333,False
PIP4P1,-0.00021553369549257652,0.00042375492315690214,81.0,0.0,0.0,0.13333333333333333,False
INSIG2,-4.9805053916050696e-05,0.00031021803184297017,81.0,0.0,0.0,0.06666666666666667,False
NPC1,-0.0002563173950635441,0.0009301753679800362,82.0,0.0,0.0,0.06666666666666667,False
MARCHF6,1.2284050310776476e-05,0.0006687666875822878,85.0,0.0,0.13333333333333333,0.3333333333333333,False
CYP3A4,-0.0002362518148746181,0.0005568083137523554,86.0,0.0,0.06666666666666667,0.13333333333333333,False
IDI2,-0.00016581020897567638,0.00035602452804414436,86.0,0.0,0.0,0.13333333333333333,False
FDFT1,-0.0001522210802786317,0.0002593008378669666,87.0,0.0,0.0,0.0,False
OSBPL5,-4.967454607741101e-05,0.0007576134437452416,88.0,0.0,0.13333333333333333,0.2,False
APOF,-0.0007099789556110102,0.0026667360835940907,91.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False
DHCR24,-0.0004596812346041457,0.001146865955910427,100.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,True
PLPP6,-0.0008691658917763628,0.0015070638715308446,106.0,0.0,0.13333333333333333,0.2,False
HMGCS2,-0.0007945154080816965,0.0016376670564325002,108.0,0.06666666666666667,0.13333333333333333,0.2,True
SULT2B1,-0.0004967291472944036,0.00148739170484889,109.0,0.06666666666666667,0.2,0.26666666666666666,False
