family,feature,transformation,model,covariates,n,unadjusted_Kruskal_P,global_subtype_F,global_subtype_P,partial_R2_subtype,global_subtype_FDR_all_features,global_subtype_FDR_within_family
Marker score,NK,none,ER,stage + ER + ESTIMATEScore,899,3.8652464476226295e-05,9.72642761134515,2.5540910639002593e-06,0.03167600854446544,8.51363687966753e-06,7.662273191700778e-06
Marker score,NK,none,PAM50,stage + PAM50 + ESTIMATEScore,755,3.8652464476226295e-05,4.057108763746159,0.007110580267994274,0.016074732188890228,0.020913471376453746,0.021331740803982823
Marker score,B_cell,none,ER,stage + ER + ESTIMATEScore,899,0.00016248434066564726,5.2237758278089625,0.0014061571716287482,0.017265420873078124,0.0025109949493370503,0.0015819268180823417
Marker score,B_cell,none,PAM50,stage + PAM50 + ESTIMATEScore,755,0.00016248434066564726,2.799768236567083,0.03916595798718968,0.011148543218974242,0.08901354087997654,0.07049872437694142
Marker score,Macrophage,none,ER,stage + ER + ESTIMATEScore,899,0.00023055425488111738,8.00826190482436,2.8575561676316043e-05,0.026227222329725977,7.519884651662116e-05,6.42950137717111e-05
Marker score,Macrophage,none,PAM50,stage + PAM50 + ESTIMATEScore,755,0.00023055425488111738,2.4262807766229266,0.06438892802245598,0.009675723841076818,0.13997593048359996,0.09658339203368398
Marker score,DC,none,ER,stage + ER + ESTIMATEScore,899,8.371359211055947e-10,6.5290271211410165,0.0002274870755395444,0.02148679129384706,0.0005416358941417724,0.0004094767359711799
Marker score,DC,none,PAM50,stage + PAM50 + ESTIMATEScore,755,8.371359211055947e-10,1.4437553051176768,0.22876405181666226,0.005780175087265482,0.3177278497453642,0.29412520947856574
Marker score,Neutrophil,none,ER,stage + ER + ESTIMATEScore,899,1.5650779842252328e-10,6.389732867025893,0.00027644376919350937,0.021038023048307868,0.0006282812936216122,0.0004146656537902641
Marker score,Neutrophil,none,PAM50,stage + PAM50 + ESTIMATEScore,755,1.5650779842252328e-10,9.61392172542716,3.116930648336646e-06,0.03727088207717932,7.792326620841616e-05,2.8052375835029814e-05
Marker score,Stroma,none,ER,stage + ER + ESTIMATEScore,899,2.1802658106395982e-23,16.367816150621053,2.3187588809423095e-10,0.05217646214413459,1.2881993783012832e-09,2.0868829928480784e-09
Marker score,Stroma,none,PAM50,stage + PAM50 + ESTIMATEScore,755,2.1802658106395982e-23,2.828972585180493,0.03766363215683627,0.011263523699684119,0.08901354087997654,0.07049872437694142
ssGSEA,CD8_T,none,ER,stage + ER + ESTIMATEScore,899,5.169923143741661e-05,11.249861256374288,3.0012436138925776e-07,0.03645649359269908,1.2876077492713538e-06,9.003730841677733e-07
ssGSEA,CD8_T,none,PAM50,stage + PAM50 + ESTIMATEScore,755,5.169923143741661e-05,5.953011976704165,0.0005168476023586769,0.02341066316182248,0.004307063352988974,0.002325814210614046
ssGSEA,CD4_T,none,ER,stage + ER + ESTIMATEScore,899,0.0002295179044711022,1.659804568084276,0.17412960677820377,0.005551313249976785,0.20729715092643305,0.17412960677820377
ssGSEA,CD4_T,none,PAM50,stage + PAM50 + ESTIMATEScore,755,0.0002295179044711022,1.2297698176929057,0.29783144544371026,0.0049276908411765305,0.3818351864662952,0.29783144544371026
ssGSEA,Treg,none,ER,stage + ER + ESTIMATEScore,899,7.391900583466248e-15,20.679591407570314,5.84974951375714e-13,0.0650275186910051,7.312186892196424e-12,5.264774562381426e-12
ssGSEA,Treg,none,PAM50,stage + PAM50 + ESTIMATEScore,755,7.391900583466248e-15,6.16834099061785,0.00038302698727486154,0.024236936778522983,0.004307063352988974,0.002325814210614046
ssGSEA,NK,none,ER,stage + ER + ESTIMATEScore,899,0.026452088264221983,5.007531967225568,0.001898915881145609,0.016562537658439094,0.0031648598019093487,0.0028483738217184138
ssGSEA,NK,none,PAM50,stage + PAM50 + ESTIMATEScore,755,0.026452088264221983,3.9419118770972945,0.008326237955385618,0.015625440672188122,0.02312843876496005,0.014987228319694113
