"sample_id","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","RMSE"
"TCGA-A1-A0SE-01A",0.140857247482257,0,0.0540259084943588,0.0700511217118042,0,0.240496634832215,0,0,0,0,0,0.0915957330187781,0.0433479566527959,0.100423298895119,0.0899121859860378,0,0,0.0118422968596255,0.15744761606701,0,0,0,1.82980348298086
"TCGA-A1-A0SF-01A",0.17378566171758,0,0.114940028537621,0.101617768807057,0,0.145979600109229,0,0.0303725243500869,0,0,0,0.0445165479531081,0.0429486160905655,0.0363039960559529,0.106213296092858,0.0518962303807431,0.0138395089899668,0.0382025968979078,0.0993836240173243,0,0,0,1.83866796587255
"TCGA-A1-A0SG-01A",0.222314023615169,0,0,0.0690294789707689,0,0.0818923877372944,0,0.108580309103776,0,0,0,0.0813175962669336,0.0303021008369476,0.0449069383667242,0.0734196946423865,0.0886235983432261,0.018486431927207,0.0271828479343296,0.153944592255236,0,0,0,1.7858129523027
"TCGA-A1-A0SH-01A",0.0966509096675132,0,0.0486268395926962,0.0285996629482371,0,0.226199733238442,0,0.0228262458666602,0,0,0,0.0505500826212416,0.0072478646557168,0.0668214342335329,0.039659423601317,0.179607768282305,0.0100505801483857,0.0335277984615972,0.189631656682356,0,0,0,1.82752874929601
"TCGA-A1-A0SI-01A",0.174198006153739,0,0.0444831485484038,0.0899233998241756,0,0.126823683016913,0.000560362091197504,0.102769031971863,0,0,0,0.0406111035015075,0.0290149186325485,0.0717041861095968,0.114077520046398,0.0782413082411638,0.00176835569722756,0.0221792225340401,0.103645753631227,0,0,0,1.88418175288615
"TCGA-A1-A0SJ-01A",0.0892878598964469,0,0.0622501128520351,0.0643446406817205,0,0.254161717127778,0,0.0926785965099563,0,0,0,0.021136686633251,0.0284855815122924,0.050732124655911,0.0907214592404499,0.10410931423529,0,0.0317002976612238,0.0911494752527062,0,0,0.0192421337409386,1.81386700804299
"TCGA-A1-A0SK-01A",0.13227887504341,0,0.0804961880548696,0.139426300703975,0,0.101576190611821,0,0.118757635399129,0,0,0,0.0869855445017808,0.014121024491998,0.201818807174433,0.0563943148532191,0.0340649000578279,0,0,0.0140608392443406,0,0.0200193798631966,0,1.90794423672307
"TCGA-A1-A0SM-01A",0,0.0498875092441733,0.0281815004503544,0.0157821503627359,0,0.195256921519351,0,0.0123566880094244,0.0304161205782198,0,0.0104848019753546,0.0996742968528056,0.0196939939449968,0.0694700141609583,0.0780699458161456,0.17914189499847,0,0.0281617484392864,0.142057843690029,0,0.0179640156236616,0.0234005543340334,1.87336577331274
"TCGA-A1-A0SN-01A",0.101053125599667,0,0.0295966135909735,0.104403940073698,0,0.153466233509643,0.0233620039371386,0.0337238030220694,0.0401368385428572,0,0,0.0618129714037534,0.0177157039145792,0.0809004623222706,0.092599487746624,0.0951443555744966,0.00941513306041065,0.0482894244415956,0.108379903260223,0,0,0,1.84346351880268
"TCGA-A1-A0SO-01A",0.147906126994587,0,0.0573508720459525,0.0565789915082267,0,0.1449355289269,0,0.110394072938482,0,0,0,0.0335769040858429,0.0508227405499465,0.104682173860889,0.175266370681586,0.0889406714763565,0.0106969815685677,0.00513130198239587,0.00814470447183828,0,0.00557255890842825,0,1.83309679790821
"TCGA-A1-A0SP-01A",0.0784383247365465,0,0.105825277711353,0.0202896991461034,0,0.143691091903218,0,0.0674448875993764,0.00565408740694839,0,0,0.0319931419413378,0.0261627829449737,0.0898402195681545,0.125647815285058,0.115478732103929,0.109626720038945,0.0712078942516157,0,0,0.00461036154477918,0.00408896381766177,1.835799716381
"TCGA-A1-A0SQ-01A",0.155451686361374,0,0.128244676839211,0.0291956595927714,0,0.111046851547014,0,0.0697730889150516,0,0,0,0.0745967503649912,0.0510043420974828,0.00562241142023948,0.0811810727918277,0.156727579716559,0,0.0129144132508137,0.11116753676538,0,0.00685743741741786,0.00621649291986485,1.97667160135317
"TCGA-A2-A04N-01A",0.0725153233931022,0.0539030809044697,0.0035670439545288,0.0604148113273431,0,0.220547693324276,0,0.0630343700248434,0,0,0,0.0313545248849413,0.0202541310756991,0.0688284603047421,0.0927757873490998,0.126435132386523,0,0.0256170384567121,0.160752602613719,0,0,0,1.82200382554719
"TCGA-A2-A04P-01A",0.15380907955879,0.0570674533981354,0.0115723927926713,0.0303038854198113,0,0.142984661177289,0,0.182756680477933,0,0,0.00508878938299691,0.00564628467788448,0.0402289157674511,0.0315949460597419,0.111876293111318,0.0716297644423823,0.0116054167182891,0.128224236313531,0,0,0.0156112007017753,0,1.6669342289353
