,No benefits,Responder,TIDE,IFNG,MSI Score,CD274,CD8,CTL.flag,Dysfunction,Exclusion,MDSC,CAF,TAM M2,CTL
S325,False,True,-0.8424664612356887,7.262198686599731,0.9987856446420253,3.896907329559326,4.354482531547546,True,-0.8424664612356887,1.3116932001940989,0.04635778923970365,0.1703467671987272,-0.038786665520092446,3.988648
S350,False,True,-0.8490840253234972,6.676945090293883,0.999141050332641,3.356473445892334,4.6601585149765015,True,-0.8490840253234972,1.5257327742595217,0.06898047604179662,0.17211967446167487,-0.03014925771640494,4.360221
S866,False,True,-0.8498829603688804,6.9022944768269845,0.9989223595882389,3.0945699214935303,3.8444288969039917,True,-0.8498829603688804,1.7614710143368895,0.07307001808017255,0.20189742596475005,-0.028471807006107557,3.9133983
S386,False,True,-0.8500138299338877,6.513093918561935,0.9997676319014209,5.675490379333496,3.9145445823669434,True,-0.8500138299338877,1.9910400266863293,0.1348228535159071,0.18456865616328902,-0.03783300555336736,4.253669
S472,False,True,-0.8512686579313733,6.301168014605839,0.9987721259711346,2.4760055541992188,4.2551363706588745,True,-0.8512686579313733,1.8455616889637407,0.08379095213685324,0.21019769999689156,-0.0318869121110745,3.7408032
S807,False,True,-0.8534970649908129,8.297303398450214,0.999833070128482,5.840920925140381,6.3803870677948,True,-0.8534970649908129,1.2479666026883576,0.06657367626597128,0.13422124783573489,-0.03776720681657619,6.359415
S574,False,True,-0.8542596110013361,5.413914720217386,0.9997260492250208,4.147826194763184,3.2030261754989624,True,-0.8542596110013361,1.6371683300418658,0.0622822479341079,0.20287575652056705,-0.035642007512694245,3.1913037
S572,False,True,-0.8546962804810605,5.849708567063014,0.9942452368318976,5.053425312042236,2.7107750177383423,True,-0.8546962804810605,2.5078999078847177,0.08679390105681005,0.3139564715148231,-0.03152186173630475,3.1157677
S208,False,True,-0.8547286893715079,4.279076731453339,0.9975486943656414,2.2453274726867676,2.4503265619277954,True,-0.8547286893715079,2.3710422909719497,0.08474954115243181,0.28265967436508543,-0.016740578286900776,2.2356365
S83,False,True,-0.855356026897238,6.475143740574518,0.9996595813475262,3.2739171981811523,5.005031943321228,True,-0.855356026897238,1.6049862457823159,0.05225307789638146,0.19898655205655702,-0.02648872648884327,4.4212728
S107,False,True,-0.8562481722335707,4.6482157061497364,0.9939185195246781,1.0203427076339722,2.007449507713318,True,-0.8562481722335707,2.243118444883158,0.07308729783830932,0.2737560732476642,-0.018664562548653982,1.8804142
S584,False,True,-0.8568161955556373,8.44504988193512,0.9983815395117375,5.256229400634766,5.554660797119141,True,-0.8568161955556373,1.2453697721235666,0.058577001893729747,0.14444907951303473,-0.04200220473451573,5.6936088
S375,False,True,-0.8591733986579566,5.991582039743662,0.9997519385002519,2.9456684589385986,4.232447147369385,True,-0.8591733986579566,1.6054656877927822,0.07837458330394567,0.17423272912867535,-0.031707489667473346,4.2488184
S623,False,True,-0.8598449931557409,6.872998058795929,0.9995945716137196,3.8329854011535645,4.605346202850342,True,-0.8598449931557409,1.8858652850590216,0.06073854026361181,0.2385705065258362,-0.027626080036687938,3.935407
S341,False,True,-0.8637983701561753,6.108879307905832,0.9993880510473048,3.818087339401245,4.292086839675903,True,-0.8637983701561753,1.4664407645897906,0.03224452721141275,0.20913152277903965,-0.041624089677596766,4.211087
S949,False,True,-0.8650985903394173,5.8165239579975605,0.9986151423020062,2.4191877841949463,2.890608549118042,True,-0.8650985903394173,2.0054822593596318,0.06240792942303963,0.25161637133127995,-0.022852532322036056,2.636395
S239,False,True,-0.8674051674107762,4.941185151537259,0.9995197128006257,2.3922812938690186,3.405285596847534,True,-0.8674051674107762,1.7966868623739176,0.059611770542541,0.2116801794389032,-0.014203444570863194,2.8155706
S927,False,True,-0.8680194379330277,4.829998257259527,0.9972191933354909,1.9348758459091187,3.72741162776947,True,-0.8680194379330277,1.8884558865585466,0.09196195531990786,0.1959790081248832,-0.016556264730065853,2.997142
S835,False,True,-0.86874870517065,6.998346149921416,0.9984731493753503,3.6943719387054443,5.168531775474548,True,-0.86874870517065,1.3648215369950838,0.06075718848874173,0.1520995125700231,-0.0309546342446969,4.9547625
S439,False,True,-0.8701687252828573,6.122696412106355,0.9996514572545412,3.383244037628174,3.4677577018737793,True,-0.8701687252828573,1.9739721911848365,0.07311220697156785,0.23512952055951858,-0.024009366540656774,3.182549
S912,False,True,-0.8719149819067221,6.420261383056641,0.9995750714039029,2.2127087116241455,3.9034210443496704,True,-0.8719149819067221,1.90462496128812,0.08208110129608281,0.20795101123715146,-0.018220991389598352,4.130679
S948,False,True,-0.8720929333588888,5.5799343809485435,0.9995632925359635,2.573580741882324,3.9893555641174316,True,-0.8720929333588888,1.8262776664080642,0.06787659639831584,0.21304169269996373,-0.02025414607685653,3.6810467
S944,False,True,-0.8740945687006739,3.227608323097229,0.9998267414994606,1.5624369382858276,1.0988199710845947,True,-0.8740945687006739,2.116271820049169,0.10549766983013456,0.18548810620590384,0.014850853534800442,1.1677638
S1,False,True,-0.8868731916106014,6.668988287448882,0.9986287247800149,2.9404752254486084,3.9723618030548096,True,-0.8868731916106014,1.6954125102492537,0.1025800351767423,0.1608448871648285,-0.025435430480786565,3.5296173
S260,False,True,-0.8882689731905946,6.022739827632904,0.9985336331969795,2.8388419151306152,3.6086121797561646,True,-0.8882689731905946,2.0986626765065246,0.062129863561119485,0.27127347251900874,-0.027455282725912928,3.5201278
S566,False,True,-0.8926244640758979,6.933894803126652,0.9997525522299521,3.05810809135437,4.653355360031128,True,-0.8926244640758979,1.764519422254752,0.07265803125363726,0.19875413780684287,-0.021004012381289013,4.560591
S108,False,True,-0.8951997858239492,5.864311836659908,0.9996692581656227,4.2516021728515625,3.6982533931732178,True,-0.8951997858239492,1.607709149090966,0.07366726359077352,0.19245322905712542,-0.03927349456314982,3.513473
S908,False,True,-0.8953120717914445,5.521082319319248,0.9998693730799665,2.327582836151123,4.277562379837036,True,-0.8953120717914445,1.494941974432504,0.05959404968115531,0.16555243847521206,-0.017521002839341035,3.6944854
S619,False,True,-0.897243645433348,6.198365340630213,0.9993334328779303,2.687307119369507,3.67571759223938,True,-0.897243645433348,2.0697829958437985,0.09385342384042251,0.23368991980285003,-0.027365569205087533,3.5447643
S919,False,True,-0.8980803749573539,3.7044209015245237,0.9994051733280466,1.7588372230529785,3.1179927587509155,True,-0.8980803749573539,2.083327866831563,0.09166770063427516,0.20407516628780953,0.00560823447469068,3.020055
S788,False,True,-0.9067792128683109,6.754563331604004,0.9994663458178803,3.6715376377105713,3.1508383750915527,True,-0.9067792128683109,1.4437835815981443,0.06035263412941161,0.16523890427891735,-0.02730992715411679,2.7993991
S516,False,True,-0.9080680610359987,6.48595983783404,0.9996942862655572,3.334254741668701,4.051827907562256,True,-0.9080680610359987,1.8804611468913466,0.08324460273420625,0.21275287311509716,-0.0272617819191633,3.8463376
S49,False,True,-0.909270633861912,6.253637671470641,0.9981786006106985,3.2581703662872314,4.220635414123535,True,-0.909270633861912,1.713718743456316,0.050252056505259664,0.22035672581767107,-0.027384394477228933,3.5433412
S903,False,True,-0.9131427199320036,4.980470766623815,0.9996573305523144,2.226745843887329,3.243740439414978,True,-0.9131427199320036,1.9337261278634963,0.09339782323837056,0.19346883548418528,-0.0095468397346254,3.2116208
S746,False,True,-0.9170691099172239,5.58721524477005,0.9986312080641593,2.3069961071014404,3.5795594453811646,True,-0.9170691099172239,2.070770017697596,0.07248398972386612,0.2461798440128433,-0.017449711689565092,2.9623876
